id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,state,color
3641,77724,2008,,Impala,excellent,other,electric,59392,,automatic,NC,gray
2872,36273,2014,Nissan,Civic,good,6 cylinders,diesel,190490,clean,,IL,blue
3926,34234,,Volkswagen,Elantra,,4 cylinders,diesel,18445,rebuilt,manual,PA,red
1924,1184,2017,Mercedes,Elantra,fair,8 cylinders,gas,193017,rebuilt,,IL,other
5575,715,2020,Chevrolet,Corolla,good,3 cylinders,diesel,8549,,automatic,OH,other
4458,41525,2015,Hyundai,Altima,fair,6 cylinders,,32876,rebuilt,,OH,white
4375,20547,2022,Toyota,Impala,salvage,,electric,104906,salvage,manual,MI,blue
3841,1684,2011,Toyota,Civic,,8 cylinders,hybrid,56176,,manual,OH,other
1285,7395,1996,Hyundai,,fair,6 cylinders,diesel,134713,,,CA,
7004,36194,2003,Mercedes,,fair,4 cylinders,gas,158641,,manual,CA,blue
1088,27146,2009,Kia,Altima,like new,3 cylinders,gas,202742,clean,,TX,blue
6954,58480,2004,Nissan,Altima,excellent,6 cylinders,hybrid,148793,,automatic,MI,silver
36,60338,2004,Honda,Impala,good,3 cylinders,,132830,,,GA,silver
1352,75618,2001,Hyundai,Civic,fair,3 cylinders,diesel,28849,,,GA,
1869,50948,2021,Honda,Altima,good,8 cylinders,hybrid,29365,clean,,CA,white
1028,8507,2018,Volkswagen,Elantra,like new,,diesel,235683,,manual,GA,blue
6526,17074,1998,Hyundai,3 Series,fair,other,diesel,29558,clean,,CA,
1107,12389,2016,Hyundai,Corolla,,6 cylinders,gas,120154,,,NY,silver
3681,47217,2019,,C-Class,excellent,8 cylinders,electric,185572,clean,manual,GA,green
9120,10978,2022,Chevrolet,3 Series,excellent,3 cylinders,hybrid,233882,clean,manual,NY,other
859,69724,2005,Volkswagen,3 Series,,,hybrid,85335,salvage,,PA,black
7211,60930,2000,Ford,C-Class,excellent,,gas,248628,rebuilt,,TX,black
7946,29442,2017,Ford,,salvage,6 cylinders,electric,98819,clean,,FL,white
6077,51490,1996,Honda,C-Class,,,gas,235501,,automatic,NY,white
1449,13829,1997,Nissan,,fair,3 cylinders,hybrid,66336,clean,,MI,blue
6844,14771,1996,Volkswagen,Golf,like new,4 cylinders,electric,119141,clean,,CA,silver
3771,34763,2014,Mercedes,Golf,,3 cylinders,,121634,clean,manual,CA,green
2763,10793,2017,Ford,3 Series,like new,3 cylinders,electric,184876,,,CA,red
6605,35988,2016,Honda,3 Series,excellent,3 cylinders,diesel,131190,rebuilt,manual,IL,red
3279,72809,2010,,Focus,fair,8 cylinders,diesel,66918,clean,,MI,black
7349,45850,2011,Ford,,,6 cylinders,gas,159193,,,TX,red
373,65465,2021,Honda,,salvage,8 cylinders,,40910,salvage,automatic,PA,white
8545,32345,1996,BMW,Elantra,like new,4 cylinders,,34898,clean,manual,OH,blue
4632,7227,2018,,Golf,excellent,8 cylinders,gas,166964,,manual,IL,silver
2422,71380,2002,Toyota,Elantra,salvage,,gas,101176,clean,manual,OH,silver
8013,43323,2019,Honda,,,,,25479,,automatic,OH,black
3429,61061,2002,Mercedes,3 Series,salvage,,hybrid,15869,rebuilt,,GA,other
3743,43556,2004,Mercedes,Elantra,salvage,,gas,201186,,automatic,FL,
4760,33124,2005,Kia,Rio,like new,,gas,116772,clean,,MI,black
7912,70428,2020,Toyota,3 Series,salvage,4 cylinders,diesel,233357,,,GA,silver
1170,59722,2020,Nissan,,fair,6 cylinders,electric,123710,,,OH,gray
8640,39212,2005,,Corolla,like new,6 cylinders,hybrid,151729,rebuilt,,MI,red
2683,32583,1998,Hyundai,Corolla,like new,4 cylinders,,223679,rebuilt,manual,CA,white
4417,64516,1999,Toyota,Altima,,,electric,12050,,,PA,white
9145,63324,2018,Hyundai,Focus,good,6 cylinders,diesel,34702,,automatic,IL,silver
